Source,Target,Label,Weight
1,0,3EXLhmex5q98cen2dPwFoq7nxS8rdN5d8g,0.01187121
2,0,34jkMns7d3YGrhqgkg7dL3euunfShke73A,0.00812432
3,2,3Lx6JTZzh69zMZ2EdyZw7uxu81aetbTT5Q,0.028294
4,1,3ALpXn8D1LakvRgvob98jTvSFdeRLmTd8M,0.03916708
5,1,3B7SVKxX19hbsJ5B2h5HhicYFeE6Pucixu,0.01893117
6,3,3HrK9rXvr6aDTz4RGHiBigEUMY2wn7NmFh,0.11788501
7,4,3Lx6JTZzh69zMZ2EdyZw7uxu81aetbTT5Q,0.041667
8,5,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3.85480612
9,5,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,38.53101271
10,6,3DKWsmJMBNkEb4TgdZ6gAjGPzJhU9dKi4E,0.14498292
11,7,33Luw49CYPsQbJsyEZ8SbGVyEuGEpYUyyJ,3.3535
12,8,1GAWu5Sacfehb34pPTim8CBqBPyryoixzg,0.0004
13,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.0012
14,8,1Aact7rxSzeAj2YsYd1Mx692H8GrQnWVPg,0.02272
15,8,1PcfjbZCmkRXZEiouDui6gHuYKEtXD9wfj,0.1458
16,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.13988577
17,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00191592
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0051714
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00404422
19,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.025857
20,8,17daWMRvMZi2319P2GzWJEa11C95ZKn1ZR,0.005
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00366979
21,8,12WQcNZwBCLy9LV7JuonsPvPLxP2f432Wk,0.025639
22,8,1GimAo435cH6UQ8GZqqEaXkrspJN6rhB5F,0.00971141
23,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00620502
24,8,16KVRYtGMsy8HuUc3vWiP9ivdWdM5E9NNo,0.02193
25,8,1Nqu7WWE5yHJDeatnjQou1VX3bAhP75kLY,0.00260011
26,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00106851
26,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0049725
27,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00098456
28,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0029835
29,8,1Psy6Y7r6n3p4Xh8vw4cxojCKuPmijyHgu,0.05
30,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00469002
31,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00090511
32,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.01681172
33,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.003978
34,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00487647
35,8,1JUbwWHkh4jFTf7mUwQ4wAGWdx4oz5pEM1,0.014
34,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.005967
36,8,15wFgE5iNTjZ3T6Dh6bHpKvRdV8ciaptvi,0.00377452
37,8,15uSrnGpoBeDDfSa3Dzfi8ccjjhjNxQYbu,0.69586574
38,8,1JQpdmBJVChxskJuVYEqPHNDH8Ka5z5FZw,0.03261369
39,8,1DqZQ9Fm77WsvaNt9MHgKcSAABzPyo2h9e,0.00749827
40,8,345uTAcLXDfqrg1nUSbr7oqCsg7sXoqH1t,0.01141614
41,8,1CQJ1uoi369UcBEAiiprkvKtWwBmJEj8Ht,0.00432461
42,8,13Qtiv2w5Y8HHbeL2TDuD1rD3nPJwfBzsA,0.05
43,8,17daWMRvMZi2319P2GzWJEa11C95ZKn1ZR,0.005
44,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00201386
44,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00101304
45,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00149175
46,8,13jiqHSkyL5EuHvv1z3R2bnR4TBPn9imhj,0.03633795
47,8,174ZXoCASDHBJfzDSuM7M2dJ5YZm5MwE2p,0.29854536
48,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00374002
49,8,1xgf5idM4QqynTQbFHoZWEG9DC3GTPdq4,0.43269117
50,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.011934
51,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00244758
51,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00353215
52,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00688762
53,8,13iDUhxpf6GjXn9bxeSvtNd9cd81t4UACa,0.0044186
54,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00584743
55,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.043758
56,8,1PSJMjq1YRctx6rBuA9SA9ZkTg2LnLp4b5,0.0219372
57,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00176348
57,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0057681
58,8,13FVGhUkPJaxbtQPAh4tYh8DBj8VcFKxC7,0.05234257
59,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00105728
59,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00531138
59,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0014586
60,8,1Lc6L3XwZPGiE2ZaEJ1E5CvS3HhKe9aSoD,0.01002371
61,8,1Lwrxvf5rScAGVKUK3qtMGqZR9S2PRKc8n,0.01126969
62,8,1EiQZe2eTztBshDcHm9tdUyNp873JriWpq,0.00560087
63,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00121879
63,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0188955
64,8,12ZC96Giqg1Jo41rUS87Mg5EyQKbv3McZ4,0.0104275
65,8,14A5Kf7ovWrgUqdwWL2v9uaSYwn4cVMrCD,0.00219
66,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00161406
67,8,31ucy4zG57KrveXsKKfWaAyoY2s6NYkksm,0.01882096
66,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00372938
68,8,1FapDTooKvuJoaAa1cwWVsCMDq3Pnxqz29,0.0021
69,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00126226
70,8,1JrwKC9E2sGGtLtiZwfURRGERpiKENQYm,0.00785841
69,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0008861
71,8,16RvnG7Z5Zocdpngf9Y7JaQuHbWxRLKoon,0.00358463
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0029835
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00574905
73,8,1NVVghCoYaNUHNnJ4niCHFdnfqwDJ85x3C,0.02601775
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0017906
74,8,338aWAiLZvTZSR3NdofmYxYqKRxLhwT5br,0.00930816
75,8,13FVGhUkPJaxbtQPAh4tYh8DBj8VcFKxC7,0.0056862
76,8,1MgBnzY5iEAF4ap4gNFXHbRaowWUBQTvma,0.00655224
77,8,169FuGEhxe5H4fsU6DoKjA6nzB8UxYPAf5,0.0005
78,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00373264
78,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00314069
79,8,1AiVyQ4erVdFQq5kqSFyAgCdYBoXgs1J33,0.01189524
80,8,1BxiuK3gakKLQTAKmQFiVYZEpydjHtjz8u,0.01269982
81,8,15K2w7ZPFitx6VcRSZRULMhwWfpBnca14K,0.00543541
82,8,1JDehaCg29ECzvRMKbNGKu4z42Xma9acqV,0.00526381
83,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0083538
84,8,1FaD4AroaW6zrL7WH1CrZfH93SPpCYaDEn,0.00066666
85,8,145S2o8tpwiHcZct2Vhhb6iuxATT9ZNYkc,0.00203284
86,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0067626
87,8,18vJsfBfysZMWf9X21nSPQdqzX3TSZhWAs,0.00568706
88,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00475116
88,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.01048973
89,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00648165
90,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00608087
91,8,1AyHaDAT8hkX2EipDEy1Y9wLddniWLKmEb,0.00555286
92,8,1C8TkSMk95Pwsipa435imVKB3VairBJuet,0.00417026
93,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.00182452
94,8,173QLPb4SdrwJ5TfvA49q4GjfCFWsVyn4Z,0.02200815
95,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00210497
96,8,1C3icPvwrnnWs5jbZDQgBVMYuj3FdVDV7m,0.00525049
97,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00219379
98,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.03200128
99,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0011934
100,8,16jh3XigbFxmybQhYLoBNw2somkTKqhUDs,0.00454098
101,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.04280822
102,8,14y2GZhPY9jqpffX3tcRzKYwj47RooNjvA,0.00207797
103,8,18hQkVm9BDkAYs4Z2NJGQT8YfHoTNjjvSy,0.03071009
104,8,1GKEoXFMMxgUnoMvTRtWXxssAQvhXcWVTd,0.0014698
105,8,17gUDXYvcWgPpZWq7cz1Fn9GM7KLwMrPCj,0.065922
106,8,1Ms98P4HjHzJApR57VSaUcQf6CQKgxU97R,0.00938089
107,8,1KcAGGjAD2vCcmhichSS34kzEALrRDXHsE,0.00098469
108,8,17JQ32cPfqvZ9ApShC4SMBd9EmodJvW2vP,0.00514215
109,8,1DvPNUyvSazFgJtajpc4gtrHdUkUJ49eeF,0.00605025
110,8,1Mk849cw8kJqbcN1LHKzkQmuoLjYehsho7,0.05929423
111,8,1LWX6Qz7qJirhmrLHpA38CBEJoc2aJn5Uh,0.00734998
112,8,17daWMRvMZi2319P2GzWJEa11C95ZKn1ZR,0.01
113,8,1GAWu5Sacfehb34pPTim8CBqBPyryoixzg,0.01390408
114,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00376979
114,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00129147
115,8,15aWpQJNJuaifgARjvPhNXeNC5tpZipMXf,0.0002554
114,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.02358558
116,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.009945
117,8,1HS3mzWxwTL2xvVNdhstmDEytWJBRvx9Ne,0.00252876
118,8,1AoxHvxfx9fdusWcCh7ha71MSapbFL2XW5,0.00404289
119,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.01282905
120,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00097822
121,8,12ZC96Giqg1Jo41rUS87Mg5EyQKbv3McZ4,0.048081
120,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00129285
122,8,12WQcNZwBCLy9LV7JuonsPvPLxP2f432Wk,0.0116
123,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00122578
124,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00640649
124,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00624546
124,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0009945
125,8,15uSrnGpoBeDDfSa3Dzfi8ccjjhjNxQYbu,0.72481987
126,8,1FgNUuq9GrDpjNwpENapTq2T33oyewJEfR,0.00342578
127,8,31ud6wqQ7HnV1DkKZTkAb1JrcKLzDv3QUH,0.01312427
128,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00119339
129,8,1GSLkBbNuSUcAorswvVwjLzKUTWmBH59qv,0.00392337
130,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00102788
131,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00109395
132,8,3Fr6JHCCvSKH5KyiiBE7uDba1iNdgVJr3T,0.01032349
133,8,15hTe27ZmCFE64URQqa5WAHDiE9Av7x7zc,0.01248937
134,8,173QLPb4SdrwJ5TfvA49q4GjfCFWsVyn4Z,0.01837913
135,8,37VvpSGhaMKW3ZLSnVASxH1MbbpGERWEmE,0.00748785
136,8,173QLPb4SdrwJ5TfvA49q4GjfCFWsVyn4Z,0.00717841
137,8,1CZ4pN9nEi3wDeoydcLK58SXtLAG6xUPBM,0.01253313
138,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.05002223
139,8,1CoaCAssKtQVWwmYQRF71Q6KHJW44CrPT1,0.01099977
140,8,1MSCMoMgd4TEYMeHnJ3sz549dD4njgeb5h,0.00229486
141,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1.24914383
142,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00327763
143,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.06388203
144,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00131727
145,9,1B7mMu3tdc3zoLr7d7PeYnawQ8QSbS1DL3,0.02153265
146,9,14qyfATFYhAKJE6RTgn8LckbbX84obvdgX,0.00138649
147,9,1chCMT6YKYB5H9NAHfj1PBT9hcP5UvF12,0.02575475
148,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00106726
149,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01742075
150,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.10088126
151,9,19ngENzMMrs4UAPE4EAyVGDUpZt9STSn9e,0.0046239
152,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00988336
153,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00112274
154,9,15cqc88jqfYrK357ETHdHn6qyxfEJJzkrN,0.04264443
155,9,19Q4j9npMgsdFTbprwFShkABC6ZsH15Sf6,0.37986666
156,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.34364883
157,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01955673
158,9,13WwgnqLqPx5CcNTDFnYvB3oCfEWKFp7oZ,0.00445128
159,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.03348083
160,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.07455761
161,9,1NARKbGnNv5P5HxxLzyz641dZrMqQaYx1Q,0.00258246
162,9,14gjv9Yrmv7vBpckFojRwvkngTvTnzhkhC,0.21846218
163,9,1GAnSvoR16hrbE2weEmf4ZqTA8K7iLH9jN,0.01075996
164,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00730917
165,9,1E3ZhU5eEuSgNxyLBumuZ4kp1SA38bkMiG,0.01248685
166,9,19XUF1jnSwoVfV6N3jYRi62qx2hhZKPq3S,0.02616817
167,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00495521
168,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,2.61945969
169,9,14StM5ngnK7KzgoXcfbTMmPKjmkdgTLT2B,0.01656467
170,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00139755
171,9,1chCMT6YKYB5H9NAHfj1PBT9hcP5UvF12,0.08480981
172,9,13EELtmDvn56ySeNoHYcYfvpM3aYBMGQDo,0.0085572
173,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1.99914383
174,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.03964383
175,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.07464383
176,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.10024383
177,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00279441
178,9,1778QWzZ3bgFbXqqwyHAc3fo5ABdCjUSHq,0.00489174
179,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.05479232
180,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00317986
181,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01946773
182,9,33n469F4M8CJHULimdcwhnC4pL4M5vAcHa,0.00975436
183,9,1MkiPJsHs6Z1UT7xHEeHQNXZB1seHxD2UZ,0.03569325
184,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.11151823
185,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.03164883
186,9,1M9Ye9MwLnZEjn8Qjo9PdE9bhVfTzJaGZT,1
187,9,1MtPXiYbA26dmw8NzpTzaz29kBQC9ZmPFW,0.02540076
188,9,1MH4zmY2VKRqRAcssPopJ5sx5V1wrN1tG8,0.05
189,9,1DVRgKUbkq3G4qhYdeNiPEpFytvAoqJYye,15
190,9,1NRF8w94B5ZERxbieVmqm65F5KDdA7mtKH,0.04243576
191,9,1M78X6bEaVRQsXygwHsFF6zSoZyrp8mRdn,0.021037
192,9,174kwUFUDB24Mo7tHDXMCKRe7miRKrW1YP,0.02147643
193,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.0061833
194,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,4.99918483
195,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.03801119
196,9,1FYXuj1ZboowrZGgzC9QxkokQJMFjFMJ8p,0.00461955
197,9,1E7FfeSvoZ3SjbVTcjHBsZwRhXhSQKjjB7,0.01251832
198,9,1MuqNjraDFTwBh53rW6LNrz7zAXdBbwhDf,0.0043176
199,9,1NrinxydyGAUvg7ve85mXN8MFpiAidaQu,0.00109648
200,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.05111284
201,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.10267693
202,9,1HM2FhS6k3dqnXTFf7D9LbMMByiYNU7MFb,0.00854608
203,9,19Q98Azx1VXGxBCp2j6dA7oLDFW5KfivB7,0.0013
204,9,14StM5ngnK7KzgoXcfbTMmPKjmkdgTLT2B,0.01751443
205,9,1chCMT6YKYB5H9NAHfj1PBT9hcP5UvF12,0.0214682
206,9,14Ziq1FdTuxPo1Rz5v8jQKfLn1gDMCom4Y,0.00519318
207,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.21233383
208,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00163857
209,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.4622895
210,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.0084807
211,9,1EHBHwGr9pFD98si97Lc9M7Q9XAXzyDkc2,0.0081564
212,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.04214383
213,9,19Wwm5AbcynK9cZ7PN8fAcpf16NUJRTbTW,0.004
214,9,1MkiPJsHs6Z1UT7xHEeHQNXZB1seHxD2UZ,0.00200536
215,9,1PWwfQxLZJqn8jkX71xZmdJsofdBQ3NaR9,0.04739649
216,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00110969
217,9,1EH46jhAz7ynR421ugY3Uk2UxeTENibLwc,0.7596
218,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00323193
219,9,16RvK2oTedwVoqXfK3FX5B6VzN3Fyv7aY7,0.01550344
220,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00471404
221,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01781627
222,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00195823
223,9,1CpzwykRZ5CDLB3zY8vyAPFuncWQTsckHH,0.0217857
224,9,1LQWBYrvArFoG2XBSZi4jGKHtDdZqR6XWR,0.07
225,9,1MKsj8e6E3GbRi6shasceu9DMkGRyZU6dv,0.63950295
226,9,1NzHw2DTP7RkgFH1zUB5kFTL7EhBecZhRi,0.01709798
227,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00424445
228,9,14StM5ngnK7KzgoXcfbTMmPKjmkdgTLT2B,0.013697
229,9,1ADUtE5Zc94QmPghLVB2WqaRTSSdXdsFeD,0.025
230,9,1DF7Ah7GZMWW9XGALd77AjT5MB9cixUTPp,0.02545415
231,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00677267
232,9,1EHBHwGr9pFD98si97Lc9M7Q9XAXzyDkc2,0.1033
233,9,175sUT19YaunT3XyT9FUfB39FRZNxuUV4H,0.02505538
234,9,1LQWBYrvArFoG2XBSZi4jGKHtDdZqR6XWR,0.05
235,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.49939543
236,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.44239583
237,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.20816383
238,9,14StM5ngnK7KzgoXcfbTMmPKjmkdgTLT2B,0.04520792
239,9,16QkUx2ZB9YDvqjhruaw4RkmCQ939F7tsj,0.6
240,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01482076
241,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00311768
242,9,1Pyy4tLkByJqKzAt8nXSgw55Uy4EqCkLLp,0.05658462
243,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00431969
244,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01175901
245,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01099747
246,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.03664064
247,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00411007
248,9,1C6ikcUzvxUhcmHT3wxVJe5wxmaE9suVjB,0.0508
249,9,1MQQkjzaHSBLvmsviFjnjop3UzSTt3Zt3h,0.02
250,9,1ECxnty3ahShXMUM7Stz2MHmPvmAwrXptH,0.02260694
251,9,1ASTov6utXUPHEbyBhtj7m9SMyx6VusYKJ,0.00273613
252,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.07582561
253,9,1MQQkjzaHSBLvmsviFjnjop3UzSTt3Zt3h,0.1
254,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00110404
255,9,1ExBoHRFuMLvPKv4Eb52jEXKBtS8Cb71Ty,0.00198257
256,9,1MkiPJsHs6Z1UT7xHEeHQNXZB1seHxD2UZ,0.00985616
257,9,1B8jgDnFNJzBfnuAAUAfnaTWjERTssBVHb,0.15216464
258,9,13foCJ9DFfqHFZb2Qtf4ZhfnzVTiUky2yy,0.23560097
259,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00210133
260,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.08159383
261,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,1.67081268
262,9,1NWerDcGcXxSSjoFoRtDa1CJjNpLEfKpfo,0.01055858
263,9,1LLE3oHeuzYNRBzfL7i7EHNn3tog9XZM6c,0.10015947
264,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01451254
265,9,1Ae8yzeQBvFsPGxjag4FfsPa9GfDiR8dBH,0.03
266,9,1Gij4qPiR9sx9HAUMoQjyBjyFE66dYo2Hn,0.00996449
267,9,1HcJoAVTWDqeSyYpX43m4SdV1EBUC4MLvH,0.00041923
268,9,1HcJoAVTWDqeSyYpX43m4SdV1EBUC4MLvH,0.008448
269,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.17044383
270,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.20610075
271,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.0011723
272,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00282762
273,9,1JdaFNRUaqMv9Qsao6GEf62G6QW84sybLG,0.21410678
274,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00109404
275,9,1MuqNjraDFTwBh53rW6LNrz7zAXdBbwhDf,0.0012957
276,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.0035135
277,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01912732
278,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00338714
279,9,16BtPNupLbkXXNBkaUJd2FeGSSeXj3uQPf,0.00441576
280,9,19HZdM3pjkWBarYX1msnfbw7V3FbgYsjfZ,0.06459266
281,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00120964
282,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00107354
283,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00165203
284,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01315924
285,9,1CJUxgQczC4JuSTskKi1N5yt9pk53cnDgS,0.0429
286,9,1MTeyKAqnDMmL4v3AJmhFrpTencJgLHrKg,0.00839892
287,9,1JiZ8JobCYH9QKSyYBxNHVyDAqrD3KRq1K,0.00841945
288,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.0010778
289,9,1AVkHUjJEsMU8DRzDa8mBSsXXpiShQf1XJ,0.0043
290,9,1AcLRsS1EM5SXqny1vEtnKYzB1zKDAN8yj,0.01247906
291,9,1GvycKcznRHkzUEh8NyjFxw5c3dcLispe4,0.10296294
292,9,1CMa2to7ku3BccWvJhBeHDt8NyuiKLy9sU,0.0091
293,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00583209
294,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00580713
295,9,1HVg9MrNwLpBbb1xK47FDPpcErQVbGaCAL,0.07
296,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00793276
297,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.99964383
298,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.01005899
299,9,1JmhKpUi23hL86fWyWFQfWn2MJw5wh88Sc,0.05141352
300,9,1Pyy4tLkByJqKzAt8nXSgw55Uy4EqCkLLp,0.04250096
301,9,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,0.00129545
302,10,3CEDQZ5NNsX4N4Hyt23opgdQJvtjjd1aUT,0.15209111
303,11,3DVcGy2ZQYHgnejkEkYypo6sJZyPzLQTy5,25